序号	变量名	数据类型	隐藏初始值	初始值	掉电保持	网络公开	注释	软元件地址	node_id
	S082_5数据缓存[12]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[12]
	S082_5数据缓存[13]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[13]
	S082_5数据缓存[14]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[14]
	S082_5数据缓存[15]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[15]
	S082_5数据缓存[16]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[16]
	S082_5数据缓存[17]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[17]
	S082_5数据缓存[18]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[18]
	S082_5数据缓存[19]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[19]
	S082_5数据缓存[20]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[20]
	S082_5数据缓存[21]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[21]
	S082_5数据缓存[22]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[22]
	S082_5数据缓存[23]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[23]
	S082_5数据缓存[24]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[24]
	S082_5数据缓存[25]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[25]
	S082_5数据缓存[26]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[26]
	S082_5数据缓存[27]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[27]
	S082_5数据缓存[28]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[28]
	S082_5数据缓存[29]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[29]
68	S08数据清空	BOOL		OFF	保持	私有		R10400.3	ns=4;s=上位机通讯|S08数据清空
69	S09原点信号_1	BOOL		OFF	保持	公有	加液工位-PLC TO PC	R10500.0	ns=4;s=上位机通讯|S09原点信号_1
70	S09原点信号_2	BOOL		OFF	保持	公有	加液工位-PLC TO PC	R10500.1	ns=4;s=上位机通讯|S09原点信号_2
71	S09原点信号_3	BOOL		OFF	保持	公有	加液工位-PLC TO PC	R10500.2	ns=4;s=上位机通讯|S09原点信号_3
72	S09原点信号_4	BOOL		OFF	保持	公有	加液工位-PLC TO PC	R10500.3	ns=4;s=上位机通讯|S09原点信号_4
73	S09允许加工	BOOL		OFF	保持	公有	加液工位-PLC TO PC	R10500.4	ns=4;s=上位机通讯|S09允许加工
74	S09工艺选择	INT		0	保持	公有	加液工位-PC TO PLC	R10502	ns=4;s=上位机通讯|S09工艺选择
75	S09参数写入完成	BOOL		OFF	保持	公有	加液工位-PC TO PLC	R10500.5	ns=4;s=上位机通讯|S09参数写入完成
76	S09工艺完成	INT		0	保持	公有	加液工位-PLC TO PC	R10504	ns=4;s=上位机通讯|S09工艺完成
77	S09TIP盒工位编号	INT		0	保持	公有	加液工位-PC TO PLC	R10506	ns=4;s=上位机通讯|S09TIP盒工位编号
78	S09TIP编号	INT		0	保持	公有	加液工位-PC TO PLC	R10508	ns=4;s=上位机通讯|S09TIP编号
79	S09液体瓶编号	INT		0	保持	公有	加液工位-PC TO PLC	R10510	ns=4;s=上位机通讯|S09液体瓶编号
80	S09抽液量	INT		0	保持	公有	加液工位-PC TO PLC 单位ul/10	R10512	ns=4;s=上位机通讯|S09抽液量
81	S09放液量	INT		0	保持	公有	加液工位-PC TO PLC 单位ul/10	R10514	ns=4;s=上位机通讯|S09放液量
82	S09天平读数稳定	BOOL		OFF	保持	公有	加液工位-PLC TO PC	R10500.6	ns=4;s=上位机通讯|S09天平读数稳定
83	S09天平读数	REAL		0.000000	保持	公有	加液工位-PLC TO PC	R10516	ns=4;s=上位机通讯|S09天平读数
84	S09液体瓶1剩余液量	REAL		0.000000	保持	公有	加液工位-PC TO PLC	R10518	ns=4;s=上位机通讯|S09液体瓶1剩余液量
85	S09液体瓶2剩余液量	REAL		0.000000	保持	公有	加液工位-PC TO PLC	R10520	ns=4;s=上位机通讯|S09液体瓶2剩余液量
86	S09液体瓶3剩余液量	REAL		0.000000	保持	公有	加液工位-PC TO PLC	R10522	ns=4;s=上位机通讯|S09液体瓶3剩余液量
87	S09液体瓶4剩余液量	REAL		0.000000	保持	公有	加液工位-PC TO PLC	R10524	ns=4;s=上位机通讯|S09液体瓶4剩余液量
88	S09液体瓶5剩余液量	REAL		0.000000	保持	公有	加液工位-PC TO PLC	R10526	ns=4;s=上位机通讯|S09液体瓶5剩余液量
89	S09数据清空	BOOL		OFF	保持	私有		R10500.7	ns=4;s=上位机通讯|S09数据清空
90	工站状态	INT[12]		...	保持	公有			ns=4;s=上位机通讯|工站状态
	工站状态[0]	INT		0			S01状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[0]
	工站状态[1]	INT		0			S02状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[1]
	工站状态[2]	INT		0			S03状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[2]
	工站状态[3]	INT		0			S04状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[3]
	工站状态[4]	INT		0			S05状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[4]
	工站状态[5]	INT		0			S06状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[5]
	工站状态[6]	INT		0			S07状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[6]
	工站状态[7]	INT		0			S08状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[7]
	工站状态[8]	INT		0			S09状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[8]
	工站状态[9]	INT		0			S10状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[9]
	工站状态[10]	INT		0			S11状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[10]
	工站状态[11]	INT		0			S12状态 PLC TO PC 0报警中，1未准备好，2准备好，3运行中，4单循环中，5寸动中，6初始化中		ns=4;s=上位机通讯|工站状态[11]
91	Robot_Home	BOOL		OFF	保持	公有	Robot工位 PLC-PC	R10600.0	ns=4;s=上位机通讯|Robot_Home
92	Robot_任务允许写入	BOOL		OFF	保持	公有	Robot工位 PLC-PC	R10600.1	ns=4;s=上位机通讯|Robot_任务允许写入
93	Robot_任务写入完成	BOOL		OFF	保持	公有	Robot工位 PC-PLC	R10600.2	ns=4;s=上位机通讯|Robot_任务写入完成
94	S12数据清空	BOOL		OFF	保持	私有		R10600.3	ns=4;s=上位机通讯|S12数据清空
95	任务号	DINT		0	保持	公有	Robot工位 PC-PLC	R10602	ns=4;s=上位机通讯|任务号
96	S01取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10604	ns=4;s=上位机通讯|S01取放料编号
97	S01出入料产品	DINT		0	保持	公有	Robot工位 PC-PLC	R10606	ns=4;s=上位机通讯|S01出入料产品
98	S02取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10608	ns=4;s=上位机通讯|S02取放料编号
99	S03取放料产品	DINT		0	保持	公有	Robot工位 PC-PLC	R10610	ns=4;s=上位机通讯|S03取放料产品
100	S03取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10612	ns=4;s=上位机通讯|S03取放料编号
101	S04取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10614	ns=4;s=上位机通讯|S04取放料编号
102	S071取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10616	ns=4;s=上位机通讯|S071取放料编号
103	S072取放料产品	DINT		0	保持	公有	Robot工位 PC-PLC	R10618	ns=4;s=上位机通讯|S072取放料产品
104	S08取放料产品	DINT		0	保持	公有	Robot工位 PC-PLC	R10620	ns=4;s=上位机通讯|S08取放料产品
105	S08取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10622	ns=4;s=上位机通讯|S08取放料编号
106	S09取放料产品	DINT		0	保持	公有	Robot工位 PC-PLC	R10624	ns=4;s=上位机通讯|S09取放料产品
107	S09取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10626	ns=4;s=上位机通讯|S09取放料编号
108	S10取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10628	ns=4;s=上位机通讯|S10取放料编号
109	S11取放料产品	DINT		0	保持	公有	Robot工位 PC-PLC	R10630	ns=4;s=上位机通讯|S11取放料产品
110	S11取放料编号	DINT		0	保持	公有	Robot工位 PC-PLC	R10632	ns=4;s=上位机通讯|S11取放料编号
111	S08倒料产品选择	DINT		0	保持	公有	Robot工位 PC-PLC	R10634	ns=4;s=上位机通讯|S08倒料产品选择
112	Robot_任务完成	DINT		0	保持	公有	Robot工位 PLC-PC	R10636	ns=4;s=上位机通讯|Robot_任务完成
113	S07原点信号	BOOL		OFF	保持	公有	PC-PLC 机器人可以取放料	R10640.0	ns=4;s=上位机通讯|S07原点信号
114	S07允许加工	BOOL		OFF	保持	公有	PLC-PC	R10640.1	ns=4;s=上位机通讯|S07允许加工
115	S07工艺选择	INT		0	保持	公有	PC-PLC 1.粉罐扫码盘点 2.替换粉罐旋转到进料位 3.注粉	R10641	ns=4;s=上位机通讯|S07工艺选择
116	S07参数写入完成	BOOL		OFF	保持	公有	PC-PLC 	R10640.2	ns=4;s=上位机通讯|S07参数写入完成
117	S07工艺完成	INT		0	保持	公有	PLC-PC	R10642	ns=4;s=上位机通讯|S07工艺完成
118	S07上下料位置	INT		0	保持	公有	PC-PLC 机器人取放料粉罐位	R10643	ns=4;s=上位机通讯|S07上下料位置
119	S07粗注粉位置号	INT		0	保持	公有	PC-PLC 注粉位置号	R10644	ns=4;s=上位机通讯|S07粗注粉位置号
120	S07精注粉位置号	INT		0	保持	公有	PC-PLC 注粉位置号	R10645	ns=4;s=上位机通讯|S07精注粉位置号
121	S07注粉重量	REAL		0.000000	保持	公有	PC-PLC 	R10646	ns=4;s=上位机通讯|S07注粉重量
122	S07_粗注粉开口量	INT[5]		...	保持	公有	PC-PLC 	R10650	ns=4;s=上位机通讯|S07_粗注粉开口量
	S07_粗注粉开口量[0]	INT		0				R10650	ns=4;s=上位机通讯|S07_粗注粉开口量[0]
	S07_粗注粉开口量[1]	INT		0				R10651	ns=4;s=上位机通讯|S07_粗注粉开口量[1]
	S07_粗注粉开口量[2]	INT		0				R10652	ns=4;s=上位机通讯|S07_粗注粉开口量[2]
	S07_粗注粉开口量[3]	INT		0				R10653	ns=4;s=上位机通讯|S07_粗注粉开口量[3]
	S07_粗注粉开口量[4]	INT		0				R10654	ns=4;s=上位机通讯|S07_粗注粉开口量[4]
123	S07_粗注粉落粉匀速	REAL[5]		...	保持	公有	PC-PLC 	R10660	ns=4;s=上位机通讯|S07_粗注粉落粉匀速
	S07_粗注粉落粉匀速[0]	REAL		0.000000				R10660	ns=4;s=上位机通讯|S07_粗注粉落粉匀速[0]
	S07_粗注粉落粉匀速[1]	REAL		0.000000				R10662	ns=4;s=上位机通讯|S07_粗注粉落粉匀速[1]
	S07_粗注粉落粉匀速[2]	REAL		0.000000				R10664	ns=4;s=上位机通讯|S07_粗注粉落粉匀速[2]
	S07_粗注粉落粉匀速[3]	REAL		0.000000				R10666	ns=4;s=上位机通讯|S07_粗注粉落粉匀速[3]
	S07_粗注粉落粉匀速[4]	REAL		0.000000				R10668	ns=4;s=上位机通讯|S07_粗注粉落粉匀速[4]
124	S07_粗注粉旋转速度	INT[5]		...	保持	公有	PC-PLC 	R10670	ns=4;s=上位机通讯|S07_粗注粉旋转速度
	S07_粗注粉旋转速度[0]	INT		0				R10670	ns=4;s=上位机通讯|S07_粗注粉旋转速度[0]
	S07_粗注粉旋转速度[1]	INT		0				R10671	ns=4;s=上位机通讯|S07_粗注粉旋转速度[1]
	S07_粗注粉旋转速度[2]	INT		0				R10672	ns=4;s=上位机通讯|S07_粗注粉旋转速度[2]
	S07_粗注粉旋转速度[3]	INT		0				R10673	ns=4;s=上位机通讯|S07_粗注粉旋转速度[3]
	S07_粗注粉旋转速度[4]	INT		0				R10674	ns=4;s=上位机通讯|S07_粗注粉旋转速度[4]
125	S07_粗注粉提请停止量	DINT[5]		...	保持	公有	PC-PLC 	R10680	ns=4;s=上位机通讯|S07_粗注粉提请停止量
	S07_粗注粉提请停止量[0]	DINT		0				R10680	ns=4;s=上位机通讯|S07_粗注粉提请停止量[0]
	S07_粗注粉提请停止量[1]	DINT		0				R10682	ns=4;s=上位机通讯|S07_粗注粉提请停止量[1]
	S07_粗注粉提请停止量[2]	DINT		0				R10684	ns=4;s=上位机通讯|S07_粗注粉提请停止量[2]
	S07_粗注粉提请停止量[3]	DINT		0				R10686	ns=4;s=上位机通讯|S07_粗注粉提请停止量[3]
	S07_粗注粉提请停止量[4]	DINT		0				R10688	ns=4;s=上位机通讯|S07_粗注粉提请停止量[4]
126	S07_粗注粉震荡最高速度	INT		0	保持	公有	PC-PLC 	R10690	ns=4;s=上位机通讯|S07_粗注粉震荡最高速度
127	S07_精注粉开口量	INT[5]		...	保持	公有	PC-PLC 	R10700	ns=4;s=上位机通讯|S07_精注粉开口量
	S07_精注粉开口量[0]	INT		0				R10700	ns=4;s=上位机通讯|S07_精注粉开口量[0]
	S07_精注粉开口量[1]	INT		0				R10701	ns=4;s=上位机通讯|S07_精注粉开口量[1]
	S07_精注粉开口量[2]	INT		0				R10702	ns=4;s=上位机通讯|S07_精注粉开口量[2]
	S07_精注粉开口量[3]	INT		0				R10703	ns=4;s=上位机通讯|S07_精注粉开口量[3]
	S07_精注粉开口量[4]	INT		0				R10704	ns=4;s=上位机通讯|S07_精注粉开口量[4]
128	S07_精注粉落粉匀速	REAL[5]		...	保持	公有	PC-PLC 	R10710	ns=4;s=上位机通讯|S07_精注粉落粉匀速
	S07_精注粉落粉匀速[0]	REAL		0.000000				R10710	ns=4;s=上位机通讯|S07_精注粉落粉匀速[0]
	S07_精注粉落粉匀速[1]	REAL		0.000000				R10712	ns=4;s=上位机通讯|S07_精注粉落粉匀速[1]
	S07_精注粉落粉匀速[2]	REAL		0.000000				R10714	ns=4;s=上位机通讯|S07_精注粉落粉匀速[2]
	S07_精注粉落粉匀速[3]	REAL		0.000000				R10716	ns=4;s=上位机通讯|S07_精注粉落粉匀速[3]
	S07_精注粉落粉匀速[4]	REAL		0.000000				R10718	ns=4;s=上位机通讯|S07_精注粉落粉匀速[4]
129	S07_精注粉旋转速度	INT[5]		...	保持	公有	PC-PLC 	R10720	ns=4;s=上位机通讯|S07_精注粉旋转速度
	S07_精注粉旋转速度[0]	INT		0				R10720	ns=4;s=上位机通讯|S07_精注粉旋转速度[0]
	S07_精注粉旋转速度[1]	INT		0				R10721	ns=4;s=上位机通讯|S07_精注粉旋转速度[1]
	S07_精注粉旋转速度[2]	INT		0				R10722	ns=4;s=上位机通讯|S07_精注粉旋转速度[2]
	S07_精注粉旋转速度[3]	INT		0				R10723	ns=4;s=上位机通讯|S07_精注粉旋转速度[3]
	S07_精注粉旋转速度[4]	INT		0				R10724	ns=4;s=上位机通讯|S07_精注粉旋转速度[4]
130	S07_精注粉提请停止量	DINT[5]		...	保持	公有	PC-PLC 	R10730	ns=4;s=上位机通讯|S07_精注粉提请停止量
	S07_精注粉提请停止量[0]	DINT		0				R10730	ns=4;s=上位机通讯|S07_精注粉提请停止量[0]
	S07_精注粉提请停止量[1]	DINT		0				R10732	ns=4;s=上位机通讯|S07_精注粉提请停止量[1]
	S07_精注粉提请停止量[2]	DINT		0				R10734	ns=4;s=上位机通讯|S07_精注粉提请停止量[2]
	S07_精注粉提请停止量[3]	DINT		0				R10736	ns=4;s=上位机通讯|S07_精注粉提请停止量[3]
	S07_精注粉提请停止量[4]	DINT		0				R10738	ns=4;s=上位机通讯|S07_精注粉提请停止量[4]
131	S07_精注粉震荡最高速度	INT		0	保持	公有	PC-PLC 	R10692	ns=4;s=上位机通讯|S07_精注粉震荡最高速度
132	S07天平读数	REAL		0.000000	保持	公有	PLC-PC	R10694	ns=4;s=上位机通讯|S07天平读数
133	S07数据清空	BOOL		OFF	保持	私有		R10640.3	ns=4;s=上位机通讯|S07数据清空
134	S07位置1二维码	INT[100]		...	保持	公有	PLC-PC		ns=4;s=上位机通讯|S07位置1二维码
	S07位置1二维码[0]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[0]
	S07位置1二维码[1]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[1]
	S07位置1二维码[2]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[2]
	S07位置1二维码[3]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[3]
	S07位置1二维码[4]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[4]
	S07位置1二维码[5]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[5]
	S07位置1二维码[6]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[6]
	S07位置1二维码[7]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[7]
	S07位置1二维码[8]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[8]
	S07位置1二维码[9]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[9]
	S07位置1二维码[10]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[10]
	S07位置1二维码[11]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[11]
	S07位置1二维码[12]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[12]
	S07位置1二维码[13]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[13]
	S07位置1二维码[14]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[14]
	S07位置1二维码[15]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[15]
	S07位置1二维码[16]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[16]
	S07位置1二维码[17]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[17]
	S07位置1二维码[18]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[18]
	S07位置1二维码[19]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[19]
	S07位置1二维码[20]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[20]
	S07位置1二维码[21]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[21]
	S07位置1二维码[22]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[22]
	S07位置1二维码[23]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[23]
	S07位置1二维码[24]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[24]
	S07位置1二维码[25]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[25]
	S07位置1二维码[26]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[26]
	S07位置1二维码[27]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[27]
	S07位置1二维码[28]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[28]
	S07位置1二维码[29]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[29]
	S07位置1二维码[30]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[30]
	S07位置1二维码[31]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[31]
	S07位置1二维码[32]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[32]
	S07位置1二维码[33]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[33]
	S07位置1二维码[34]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[34]
	S07位置1二维码[35]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[35]
	S07位置1二维码[36]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[36]
	S07位置1二维码[37]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[37]
	S07位置1二维码[38]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[38]
	S07位置1二维码[39]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[39]
	S07位置1二维码[40]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[40]
	S07位置1二维码[41]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[41]
	S07位置1二维码[42]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[42]
	S07位置1二维码[43]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[43]
	S07位置1二维码[44]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[44]
	S07位置1二维码[45]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[45]
	S07位置1二维码[46]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[46]
	S07位置1二维码[47]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[47]
	S07位置1二维码[48]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[48]
	S07位置1二维码[49]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[49]
	S07位置1二维码[50]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[50]
	S07位置1二维码[51]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[51]
	S07位置1二维码[52]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[52]
	S07位置1二维码[53]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[53]
	S07位置1二维码[54]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[54]
	S07位置1二维码[55]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[55]
	S07位置1二维码[56]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[56]
	S07位置1二维码[57]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[57]
	S07位置1二维码[58]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[58]
	S07位置1二维码[59]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[59]
	S07位置1二维码[60]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[60]
	S07位置1二维码[61]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[61]
	S07位置1二维码[62]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[62]
	S07位置1二维码[63]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[63]
	S07位置1二维码[64]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[64]
	S07位置1二维码[65]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[65]
	S07位置1二维码[66]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[66]
	S07位置1二维码[67]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[67]
	S07位置1二维码[68]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[68]
	S07位置1二维码[69]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[69]
	S07位置1二维码[70]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[70]
	S07位置1二维码[71]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[71]
	S07位置1二维码[72]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[72]
	S07位置1二维码[73]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[73]
	S07位置1二维码[74]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[74]
	S07位置1二维码[75]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[75]
	S07位置1二维码[76]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[76]
	S07位置1二维码[77]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[77]
	S07位置1二维码[78]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[78]
	S07位置1二维码[79]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[79]
	S07位置1二维码[80]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[80]
	S07位置1二维码[81]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[81]
	S07位置1二维码[82]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[82]
	S07位置1二维码[83]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[83]
	S07位置1二维码[84]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[84]
	S07位置1二维码[85]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[85]
	S07位置1二维码[86]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[86]
	S07位置1二维码[87]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[87]
	S07位置1二维码[88]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[88]
	S07位置1二维码[89]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[89]
	S07位置1二维码[90]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[90]
	S07位置1二维码[91]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[91]
	S07位置1二维码[92]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[92]
	S07位置1二维码[93]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[93]
	S07位置1二维码[94]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[94]
	S07位置1二维码[95]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[95]
	S07位置1二维码[96]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[96]
	S07位置1二维码[97]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[97]
	S07位置1二维码[98]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[98]
	S07位置1二维码[99]	INT		0					ns=4;s=上位机通讯|S07位置1二维码[99]
135	S07位置2二维码	INT[100]		...	保持	公有	PLC-PC		ns=4;s=上位机通讯|S07位置2二维码
	S07位置2二维码[0]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[0]
	S07位置2二维码[1]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[1]
	S07位置2二维码[2]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[2]
	S07位置2二维码[3]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[3]
	S07位置2二维码[4]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[4]
	S07位置2二维码[5]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[5]
	S07位置2二维码[6]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[6]
	S07位置2二维码[7]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[7]
	S07位置2二维码[8]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[8]
	S07位置2二维码[9]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[9]
	S07位置2二维码[10]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[10]
	S07位置2二维码[11]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[11]
	S07位置2二维码[12]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[12]
	S07位置2二维码[13]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[13]
	S07位置2二维码[14]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[14]
	S07位置2二维码[15]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[15]
	S07位置2二维码[16]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[16]
	S07位置2二维码[17]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[17]
	S07位置2二维码[18]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[18]
	S07位置2二维码[19]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[19]
	S07位置2二维码[20]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[20]
	S07位置2二维码[21]	INT		0					ns=4;s=上位机通讯|S07位置2二维码[21]
